3.52,3.59,3.61,3.49
3.51,3.58,3.59,3.50
3.51,3.58,3.59,3.49
3.52,3.58,3.59,3.51
3.52,3.59,3.60,3.52
3.54,3.61,3.62,3.57
3.56,3.63,3.64,3.59
3.58,3.64,3.65,3.60
3.54,3.61,3.62,3.52
3.53,3.59,3.60,3.49
3.55,3.62,3.63,3.57
3.58,3.64,3.66,3.61
3.62,3.67,3.68,3.67
3.66,3.70,3.72,3.73
3.69,3.73,3.74,3.76
3.70,3.74,3.76,3.75
3.70,3.74,3.76,3.74
3.69,3.74,3.74,3.72
3.65,3.70,3.70,3.62
3.65,3.70,3.71,3.66
3.66,3.71,3.73,3.71
3.68,3.74,3.74,3.74
3.69,3.73,3.75,3.72
3.66,3.71,3.72,3.67
3.64,3.70,3.71,3.62
3.66,3.70,3.72,3.68
3.67,3.72,3.73,3.72
3.68,3.72,3.74,3.72
3.69,3.73,3.74,3.72
3.69,3.74,3.75,3.72
3.70,3.74,3.76,3.73
3.70,3.74,3.75,3.72
3.67,3.72,3.74,3.68
3.68,3.72,3.74,3.70
3.70,3.74,3.76,3.76
3.70,3.74,3.76,3.74
3.68,3.73,3.74,3.70
3.64,3.69,3.70,3.60
3.62,3.67,3.70,3.61
3.62,3.68,3.69,3.63
3.62,3.67,3.69,3.63
3.61,3.66,3.68,3.61
3.58,3.64,3.65,3.55
3.56,3.62,3.64,3.53
3.56,3.62,3.64,3.56
3.57,3.62,3.64,3.57
3.62,3.67,3.70,3.66
3.68,3.74,3.74,3.80
3.70,3.74,3.76,3.76
3.70,3.75,3.77,3.76
3.71,3.76,3.78,3.76
3.71,3.76,3.77,3.75
3.70,3.74,3.77,3.73
3.69,3.73,3.74,3.70
3.66,3.70,3.73,3.64
3.61,3.66,3.67,3.57
3.58,3.64,3.65,3.55
3.58,3.64,3.65,3.59
3.55,3.62,3.62,3.53
3.51,3.58,3.58,3.44
3.50,3.58,3.59,3.46
3.54,3.61,3.62,3.53
3.62,3.66,3.67,3.70
3.63,3.67,3.69,3.70
3.51,3.58,3.57,3.47
3.56,3.61,3.66,3.44
3.60,3.66,3.67,3.68
3.61,3.68,3.66,3.64
3.63,3.69,3.69,3.68
3.67,3.72,3.74,3.76
3.65,3.71,3.72,3.66
3.65,3.70,3.71,3.64
3.63,3.69,3.70,3.65
3.57,3.63,3.64,3.49
3.58,3.63,3.65,3.58
3.58,3.65,3.66,3.61
3.60,3.66,3.66,3.62
3.59,3.65,3.66,3.60
3.54,3.61,3.62,3.48
3.55,3.61,3.62,3.54
3.61,3.66,3.67,3.68
3.66,3.71,3.72,3.75
3.68,3.73,3.74,3.74
3.68,3.73,3.74,3.72
3.66,3.70,3.72,3.65
3.65,3.70,3.70,3.65
3.65,3.70,3.71,3.67
3.65,3.70,3.71,3.66
3.65,3.69,3.71,3.66
3.63,3.68,3.70,3.63
3.61,3.66,3.67,3.60
3.60,3.66,3.66,3.60
3.62,3.68,3.69,3.65
3.66,3.71,3.73,3.73
3.69,3.73,3.74,3.75
3.70,3.75,3.76,3.75
3.72,3.76,3.77,3.78
3.70,3.74,3.76,3.73
3.66,3.70,3.72,3.61
3.65,3.70,3.71,3.65
3.66,3.70,3.72,3.67
3.66,3.71,3.73,3.70
3.68,3.73,3.74,3.74
3.66,3.72,3.73,3.69
3.65,3.70,3.71,3.65
3.65,3.70,3.70,3.66
3.64,3.69,3.71,3.65
3.64,3.69,3.70,3.65
3.66,3.71,3.72,3.69
3.70,3.74,3.74,3.78
3.70,3.73,3.74,3.74
3.62,3.74,3.71,3.64
3.60,3.70,3.69,3.42
3.62,3.77,3.58,3.75
3.64,3.67,3.74,3.60
3.65,3.72,3.66,3.71
3.65,3.72,3.64,3.69
3.62,3.70,3.62,3.66
3.58,3.64,3.65,3.50
3.62,3.69,3.70,3.69
3.66,3.71,3.72,3.74
3.65,3.70,3.71,3.67
3.64,3.70,3.70,3.64
3.64,3.70,3.71,3.66
3.65,3.70,3.70,3.67
3.67,3.72,3.74,3.72
3.70,3.74,3.75,3.76
3.70,3.74,3.76,3.73
3.70,3.74,3.76,3.74
3.69,3.73,3.74,3.71
3.66,3.71,3.71,3.63
3.65,3.70,3.71,3.67
3.64,3.70,3.70,3.65
3.66,3.71,3.72,3.69
3.68,3.73,3.74,3.73
3.69,3.73,3.75,3.72
3.68,3.72,3.74,3.70
3.62,3.67,3.68,3.58
3.53,3.62,3.58,3.42
3.50,3.57,3.58,3.45
3.50,3.56,3.57,3.46
3.48,3.55,3.56,3.44
3.47,3.55,3.56,3.44
3.48,3.55,3.57,3.46
3.48,3.54,3.55,3.47
3.45,3.53,3.53,3.40
3.44,3.52,3.54,3.40
3.44,3.52,3.54,3.41
3.46,3.54,3.54,3.45
3.49,3.56,3.57,3.51
3.50,3.56,3.57,3.49
3.50,3.55,3.58,3.48
3.50,3.56,3.58,3.48
3.51,3.58,3.59,3.51
3.54,3.61,3.62,3.57
3.57,3.63,3.63,3.62
3.60,3.66,3.68,3.66
3.62,3.66,3.68,3.65
3.59,3.66,3.66,3.60
3.58,3.64,3.66,3.56
3.58,3.63,3.65,3.58
3.55,3.62,3.63,3.55
3.54,3.60,3.62,3.51
3.53,3.60,3.61,3.52
3.53,3.59,3.61,3.52
3.51,3.58,3.59,3.50
3.50,3.57,3.58,3.47
3.50,3.56,3.58,3.48
3.49,3.56,3.57,3.47
3.48,3.55,3.57,3.46
3.51,3.58,3.59,3.53
3.53,3.59,3.61,3.56
3.50,3.58,3.58,3.48
3.49,3.56,3.57,3.45
3.49,3.55,3.58,3.47
3.49,3.56,3.57,3.47
3.52,3.58,3.59,3.55
3.54,3.60,3.62,3.59
3.54,3.59,3.61,3.54
3.51,3.58,3.58,3.49
3.50,3.57,3.58,3.49
3.50,3.57,3.58,3.48
3.50,3.57,3.58,3.50
3.50,3.57,3.59,3.50
3.51,3.58,3.59,3.51
3.51,3.57,3.59,3.52
3.50,3.55,3.58,3.46
3.49,3.54,3.58,3.47
3.48,3.54,3.57,3.46
3.48,3.54,3.56,3.46
3.47,3.55,3.55,3.47
3.47,3.54,3.56,3.46
3.46,3.54,3.55,3.44
3.46,3.53,3.55,3.44
3.46,3.53,3.54,3.45
3.47,3.54,3.54,3.46
3.48,3.54,3.56,3.48
3.48,3.54,3.57,3.47
3.46,3.54,3.54,3.44
3.44,3.51,3.53,3.39
3.44,3.50,3.53,3.41
3.44,3.50,3.53,3.42
3.43,3.50,3.52,3.41
3.43,3.50,3.52,3.41
3.46,3.53,3.54,3.48
3.45,3.52,3.53,3.44
3.44,3.52,3.53,3.41
3.46,3.53,3.54,3.48
3.42,3.50,3.51,3.37
3.44,3.50,3.53,3.41
3.50,3.56,3.58,3.55
3.54,3.59,3.62,3.61
3.51,3.58,3.58,3.51
3.50,3.55,3.58,3.45
3.53,3.58,3.61,3.57
3.60,3.65,3.67,3.70
3.63,3.68,3.70,3.70
3.66,3.70,3.72,3.74
3.66,3.70,3.71,3.70
3.57,3.55,3.65,3.47
3.58,3.61,3.68,3.58
3.54,3.65,3.62,3.52
3.58,3.64,3.66,3.61
3.63,3.67,3.70,3.71
3.65,3.70,3.70,3.71
3.66,3.70,3.71,3.69
3.65,3.70,3.71,3.69
3.63,3.68,3.70,3.65
3.59,3.64,3.66,3.57
3.59,3.65,3.66,3.61
3.60,3.66,3.66,3.64
3.60,3.66,3.67,3.63
3.61,3.66,3.67,3.63
3.60,3.65,3.66,3.61
3.59,3.64,3.66,3.60
3.57,3.62,3.64,3.55
3.56,3.62,3.64,3.56
3.61,3.66,3.67,3.67
3.62,3.67,3.70,3.67
3.63,3.68,3.70,3.66
3.64,3.68,3.70,3.67
3.64,3.69,3.70,3.68
3.63,3.68,3.70,3.65
3.64,3.69,3.70,3.67
3.66,3.70,3.72,3.70
3.65,3.70,3.70,3.68
3.62,3.67,3.70,3.62
3.63,3.69,3.70,3.66
3.65,3.70,3.71,3.70
3.66,3.70,3.72,3.70
3.65,3.70,3.70,3.67
3.63,3.69,3.70,3.64
3.64,3.68,3.70,3.66
3.64,3.69,3.70,3.67
3.62,3.66,3.69,3.62
3.61,3.66,3.67,3.61
3.61,3.66,3.68,3.63
3.62,3.67,3.68,3.64
3.64,3.69,3.70,3.69
3.66,3.70,3.71,3.71
3.68,3.73,3.74,3.74
3.69,3.73,3.74,3.74
3.69,3.73,3.74,3.72
3.69,3.73,3.74,3.72
3.69,3.73,3.74,3.73
3.69,3.73,3.74,3.72
3.65,3.71,3.71,3.66
3.57,3.62,3.64,3.43
3.55,3.62,3.62,3.53
3.58,3.63,3.66,3.60
3.64,3.68,3.70,3.72
3.68,3.72,3.74,3.77
3.68,3.72,3.74,3.71
3.68,3.72,3.74,3.71
3.67,3.71,3.74,3.70
3.64,3.69,3.71,3.62
3.62,3.68,3.70,3.62
3.61,3.66,3.68,3.61
3.59,3.65,3.66,3.57
3.59,3.64,3.66,3.60
3.57,3.62,3.64,3.55
3.53,3.58,3.61,3.46
3.50,3.57,3.58,3.44
3.50,3.57,3.58,3.48
3.50,3.56,3.57,3.47
3.49,3.57,3.57,3.48
3.51,3.58,3.58,3.51
3.55,3.61,3.62,3.59
3.59,3.65,3.66,3.67
3.60,3.65,3.67,3.62
3.58,3.65,3.65,3.60
3.54,3.59,3.62,3.48
3.46,3.53,3.55,3.35
3.43,3.51,3.52,3.36
3.42,3.50,3.51,3.37
3.42,3.48,3.50,3.37
3.41,3.48,3.50,3.37
3.41,3.48,3.50,3.36
3.40,3.48,3.50,3.37
3.40,3.49,3.49,3.37
3.44,3.52,3.53,3.43
3.53,3.59,3.60,3.64
3.57,3.62,3.65,3.64
3.46,3.47,3.58,3.43
3.46,3.53,3.57,3.45
3.56,3.62,3.63,3.74
3.56,3.62,3.62,3.60
3.56,3.62,3.61,3.61
3.52,3.58,3.63,3.46
3.54,3.61,3.62,3.56
3.58,3.64,3.65,3.63
3.59,3.64,3.66,3.63
3.58,3.63,3.65,3.59
3.56,3.62,3.63,3.56
3.54,3.61,3.61,3.52
3.54,3.60,3.61,3.53
3.54,3.60,3.62,3.52
3.56,3.62,3.63,3.59
3.57,3.63,3.64,3.60
3.58,3.62,3.65,3.59
3.58,3.62,3.64,3.59
3.55,3.61,3.62,3.55
3.52,3.58,3.59,3.47
3.53,3.58,3.61,3.52
3.58,3.63,3.65,3.66
3.60,3.66,3.67,3.66
3.62,3.66,3.68,3.66
3.59,3.65,3.66,3.60
3.53,3.59,3.60,3.46
3.53,3.59,3.61,3.51
3.54,3.60,3.61,3.56
3.55,3.61,3.62,3.57
3.58,3.63,3.65,3.62
3.61,3.66,3.67,3.67
3.63,3.67,3.70,3.69
3.64,3.69,3.70,3.68
3.64,3.69,3.71,3.66
3.63,3.66,3.70,3.61
3.63,3.66,3.69,3.67
3.56,3.61,3.62,3.50
3.54,3.60,3.61,3.48
3.58,3.62,3.65,3.63
3.58,3.63,3.65,3.57
3.66,3.70,3.71,3.79
3.66,3.70,3.71,3.70
3.63,3.67,3.70,3.61
3.63,3.67,3.70,3.66
3.58,3.64,3.66,3.57
3.56,3.62,3.63,3.51
3.57,3.64,3.64,3.62
3.52,3.58,3.62,3.49
3.54,3.60,3.62,3.55
3.54,3.60,3.62,3.53
3.54,3.59,3.62,3.54
3.54,3.60,3.62,3.53
3.54,3.59,3.61,3.52
3.55,3.61,3.62,3.58
3.58,3.63,3.64,3.62
3.60,3.65,3.66,3.64
3.62,3.67,3.66,3.67
3.62,3.66,3.68,3.64
3.55,3.60,3.62,3.51
3.52,3.58,3.59,3.45
3.54,3.60,3.61,3.55
3.57,3.62,3.64,3.62
3.55,3.62,3.62,3.54
3.59,3.64,3.66,3.63
3.62,3.67,3.68,3.69
3.61,3.66,3.67,3.62
3.54,3.61,3.61,3.49
3.51,3.57,3.59,3.44
3.52,3.58,3.58,3.53
3.53,3.58,3.60,3.54
3.52,3.58,3.59,3.52
3.52,3.58,3.59,3.51
3.52,3.58,3.59,3.51
3.51,3.58,3.58,3.51
3.50,3.58,3.58,3.50
3.50,3.57,3.58,3.49
3.50,3.57,3.58,3.50
3.50,3.57,3.58,3.50
3.50,3.56,3.58,3.49
3.50,3.57,3.58,3.50
3.50,3.58,3.58,3.51
3.51,3.58,3.59,3.51
3.55,3.60,3.62,3.59
3.57,3.62,3.64,3.60
3.58,3.64,3.66,3.62
3.62,3.67,3.69,3.69
3.64,3.68,3.70,3.70
3.58,3.65,3.66,3.58
3.50,3.56,3.58,3.38
3.50,3.56,3.58,3.49
3.50,3.57,3.58,3.50
3.50,3.56,3.58,3.49
3.50,3.56,3.57,3.48
3.50,3.55,3.58,3.48
3.50,3.56,3.58,3.50
3.50,3.57,3.58,3.51
3.52,3.58,3.59,3.54
3.55,3.61,3.62,3.59
3.57,3.62,3.63,3.61
3.58,3.64,3.66,3.62
3.61,3.65,3.67,3.66
3.54,3.62,3.63,3.41
3.42,3.48,3.48,3.21
3.41,3.50,3.54,3.31
3.49,3.55,3.57,3.59
3.56,3.61,3.63,3.67
3.58,3.64,3.65,3.63
3.50,3.56,3.58,3.44
3.46,3.53,3.55,3.35
3.49,3.55,3.58,3.51
3.50,3.56,3.58,3.51
3.48,3.55,3.56,3.45
3.50,3.57,3.58,3.51
3.56,3.61,3.63,3.64
3.59,3.65,3.66,3.67
3.58,3.62,3.65,3.59
3.50,3.56,3.58,3.40
3.46,3.53,3.55,3.41
3.45,3.51,3.54,3.40
3.45,3.53,3.54,3.43
3.53,3.58,3.61,3.59
3.58,3.64,3.65,3.68
3.61,3.66,3.68,3.67
3.58,3.62,3.63,3.58
3.47,3.54,3.56,3.32
3.45,3.52,3.54,3.40
3.46,3.52,3.55,3.43
3.50,3.55,3.58,3.53
3.54,3.61,3.62,3.61
3.59,3.65,3.66,3.68
3.62,3.68,3.69,3.71
3.64,3.68,3.70,3.69
3.63,3.69,3.69,3.67
3.62,3.68,3.68,3.63
3.58,3.62,3.63,3.54
3.57,3.62,3.64,3.55
3.59,3.63,3.66,3.63
3.62,3.66,3.69,3.68
3.65,3.69,3.71,3.71
3.66,3.70,3.72,3.71
3.62,3.62,3.71,3.60
3.60,3.68,3.62,3.61
3.57,3.59,3.66,3.53
3.55,3.62,3.54,3.55
3.58,3.62,3.62,3.63
3.53,3.58,3.62,3.48
3.46,3.53,3.54,3.33
3.44,3.52,3.53,3.39
3.43,3.50,3.52,3.40
3.42,3.50,3.51,3.38
3.41,3.47,3.50,3.35
3.39,3.47,3.48,3.34
3.39,3.46,3.48,3.35
3.38,3.46,3.47,3.34
3.38,3.46,3.47,3.35
3.38,3.46,3.47,3.33
3.38,3.45,3.47,3.33
3.44,3.50,3.51,3.47
3.54,3.59,3.62,3.68
3.58,3.58,3.70,3.59
3.42,3.46,3.54,2.99
3.55,3.60,3.64,3.77
3.58,3.62,3.66,3.62
3.54,3.59,3.61,3.55
3.42,3.50,3.52,3.24
3.43,3.51,3.52,3.41
3.49,3.56,3.56,3.54
3.57,3.61,3.64,3.66
3.58,3.62,3.66,3.65
3.56,3.61,3.64,3.59
3.45,3.51,3.53,3.28
3.44,3.51,3.53,3.40
3.47,3.54,3.55,3.50
3.45,3.52,3.53,3.42
3.43,3.50,3.52,3.39
3.44,3.51,3.53,3.41
3.52,3.58,3.58,3.58
3.59,3.64,3.66,3.72
3.60,3.65,3.67,3.66
3.58,3.63,3.65,3.58
3.57,3.62,3.64,3.57
3.52,3.58,3.59,3.48
3.42,3.50,3.52,3.29
3.39,3.47,3.49,3.31
3.39,3.46,3.48,3.34
3.39,3.47,3.47,3.37
3.39,3.47,3.49,3.36
3.45,3.52,3.54,3.47
3.54,3.59,3.61,3.67
3.59,3.64,3.66,3.69
3.59,3.63,3.66,3.63
3.57,3.62,3.64,3.56
3.56,3.62,3.63,3.57
3.57,3.62,3.64,3.59
3.58,3.63,3.65,3.63
3.59,3.64,3.66,3.63
3.59,3.64,3.66,3.62
3.57,3.62,3.64,3.58
3.52,3.58,3.59,3.45
3.50,3.56,3.58,3.47
3.40,3.49,3.49,3.30
3.40,3.46,3.47,3.32
3.43,3.50,3.51,3.48
3.45,3.52,3.53,3.46
3.44,3.51,3.53,3.42
3.44,3.51,3.53,3.44
3.44,3.51,3.53,3.43
3.46,3.51,3.54,3.45
3.48,3.54,3.56,3.50
3.49,3.54,3.57,3.49
3.52,3.58,3.59,3.55
3.53,3.58,3.61,3.55
3.52,3.58,3.60,3.52
3.49,3.54,3.58,3.45
3.46,3.53,3.54,3.41
3.46,3.52,3.54,3.44
3.44,3.51,3.53,3.41
3.43,3.50,3.51,3.40
3.43,3.50,3.52,3.42
3.44,3.50,3.52,3.43
3.47,3.53,3.54,3.49
3.53,3.58,3.61,3.60
3.58,3.62,3.65,3.65
3.61,3.66,3.67,3.70
3.58,3.63,3.65,3.60
3.58,3.62,3.64,3.57
3.58,3.62,3.64,3.60
3.58,3.62,3.65,3.59
3.58,3.62,3.64,3.59
3.57,3.62,3.64,3.58
3.58,3.63,3.64,3.60
3.59,3.64,3.66,3.63
3.60,3.65,3.66,3.64
3.60,3.64,3.66,3.62
3.57,3.61,3.63,3.56
3.48,3.55,3.56,3.38
3.50,3.55,3.57,3.47
3.53,3.59,3.60,3.58
3.54,3.58,3.61,3.55
3.52,3.57,3.60,3.49
3.53,3.58,3.60,3.53
3.54,3.59,3.61,3.55
3.52,3.58,3.59,3.53
3.48,3.54,3.55,3.41
3.47,3.53,3.55,3.44
3.50,3.57,3.58,3.53
3.59,3.64,3.66,3.72
3.61,3.66,3.67,3.68
3.60,3.63,3.66,3.61
3.53,3.58,3.62,3.45
3.50,3.56,3.58,3.45
3.46,3.51,3.55,3.41
3.41,3.48,3.50,3.30
3.39,3.46,3.48,3.33
3.38,3.45,3.47,3.32
3.37,3.45,3.46,3.33
3.37,3.44,3.46,3.32
3.36,3.43,3.46,3.31
3.37,3.44,3.46,3.33
3.42,3.50,3.52,3.40
3.51,3.58,3.58,3.64
3.55,3.60,3.62,3.63
3.54,3.59,3.61,3.53
3.57,3.62,3.63,3.62
3.58,3.63,3.64,3.64
3.55,3.60,3.62,3.55
3.50,3.55,3.57,3.39
3.49,3.55,3.56,3.48
3.43,3.50,3.51,3.35
3.42,3.48,3.50,3.36
3.42,3.50,3.51,3.41
3.44,3.50,3.52,3.45
3.44,3.50,3.52,3.41
3.43,3.50,3.51,3.41
3.48,3.54,3.55,3.50
3.54,3.59,3.61,3.64
3.56,3.62,3.63,3.62
3.57,3.62,3.63,3.60
3.55,3.59,3.62,3.56
3.52,3.58,3.60,3.49
3.52,3.58,3.59,3.51
3.57,3.62,3.63,3.62
3.60,3.65,3.66,3.68
3.61,3.65,3.67,3.64
3.62,3.66,3.68,3.68
3.63,3.67,3.69,3.68
3.62,3.67,3.65,3.64
3.58,3.60,3.67,3.47
3.55,3.64,3.69,3.45
3.54,3.62,3.66,3.53
3.58,3.62,3.59,3.63
3.52,3.51,3.58,3.38
3.49,3.53,3.57,3.41
3.52,3.58,3.59,3.57
3.56,3.60,3.62,3.61
3.56,3.61,3.63,3.58
3.58,3.62,3.64,3.59
3.59,3.63,3.66,3.64
3.58,3.62,3.65,3.58
3.59,3.63,3.65,3.61
3.64,3.67,3.70,3.73
3.63,3.67,3.67,3.67
3.59,3.62,3.66,3.53
3.58,3.62,3.68,3.58
3.58,3.63,3.68,3.58
3.58,3.63,3.66,3.60
3.60,3.64,3.66,3.63
3.61,3.65,3.67,3.64
3.61,3.65,3.67,3.64
3.57,3.62,3.63,3.55
3.55,3.60,3.62,3.53
3.57,3.61,3.63,3.58
3.58,3.64,3.65,3.63
3.61,3.65,3.67,3.66
3.61,3.65,3.67,3.63
3.61,3.65,3.66,3.63
3.62,3.66,3.67,3.64
3.62,3.66,3.68,3.66
3.63,3.68,3.69,3.68
3.65,3.69,3.70,3.71
3.66,3.69,3.70,3.70
3.62,3.67,3.69,3.62
3.61,3.66,3.66,3.61
3.59,3.63,3.65,3.58
3.58,3.63,3.64,3.58
3.54,3.59,3.61,3.48
3.53,3.58,3.59,3.51
3.49,3.55,3.56,3.42
3.43,3.50,3.52,3.33
3.41,3.47,3.49,3.32
3.39,3.47,3.48,3.35
3.38,3.46,3.47,3.34
3.38,3.46,3.47,3.34
3.38,3.46,3.47,3.35
3.40,3.48,3.49,3.39
3.41,3.47,3.49,3.37
3.38,3.46,3.46,3.33
3.38,3.45,3.46,3.32
3.37,3.46,3.46,3.32
3.37,3.45,3.46,3.32
3.37,3.44,3.46,3.33
3.37,3.44,3.45,3.33
3.36,3.44,3.46,3.32
3.37,3.45,3.46,3.34
3.39,3.46,3.47,3.38
3.39,3.47,3.48,3.38
3.40,3.47,3.48,3.38
3.43,3.50,3.51,3.44
3.46,3.53,3.54,3.48
3.48,3.54,3.56,3.50
3.48,3.54,3.55,3.48
3.47,3.53,3.54,3.45
3.47,3.53,3.55,3.46
3.47,3.53,3.55,3.46
3.46,3.51,3.54,3.43
3.43,3.50,3.52,3.38
3.42,3.50,3.51,3.39
3.46,3.51,3.54,3.45
3.50,3.56,3.58,3.56
3.51,3.57,3.58,3.54
3.49,3.54,3.55,3.48
3.45,3.50,3.53,3.38
3.43,3.50,3.51,3.40
3.42,3.49,3.51,3.39
3.42,3.49,3.50,3.38
3.43,3.50,3.51,3.42
3.48,3.54,3.55,3.53
3.51,3.56,3.58,3.56
3.49,3.54,3.57,3.48
3.45,3.52,3.54,3.39
3.45,3.51,3.54,3.43
3.45,3.51,3.54,3.44
3.44,3.50,3.52,3.40
3.42,3.49,3.50,3.37
3.42,3.48,3.50,3.38
3.42,3.48,3.50,3.40
3.42,3.49,3.50,3.40
3.43,3.50,3.52,3.42
3.44,3.50,3.53,3.43
3.46,3.52,3.54,3.47
3.50,3.56,3.57,3.55
3.54,3.59,3.61,3.60
3.54,3.59,3.61,3.57
3.54,3.59,3.60,3.56
3.52,3.58,3.59,3.52
3.46,3.53,3.54,3.37
3.43,3.50,3.52,3.38
3.43,3.50,3.51,3.39
3.44,3.50,3.53,3.42
3.48,3.54,3.56,3.52
3.50,3.56,3.58,3.54
3.51,3.56,3.58,3.53
3.51,3.57,3.58,3.52
3.51,3.57,3.58,3.53
3.48,3.53,3.56,3.44
3.46,3.52,3.54,3.41
3.50,3.56,3.58,3.55
3.50,3.56,3.58,3.53
3.44,3.50,3.52,3.35
3.43,3.50,3.52,3.38
3.45,3.51,3.54,3.46
3.47,3.52,3.55,3.48
3.50,3.54,3.57,3.52
3.52,3.58,3.59,3.57
3.54,3.58,3.61,3.57
3.54,3.58,3.60,3.55
3.52,3.58,3.59,3.51
3.51,3.57,3.58,3.50
3.51,3.57,3.58,3.51
3.51,3.56,3.58,3.51
3.50,3.55,3.57,3.49
3.50,3.54,3.57,3.48
3.50,3.55,3.58,3.51
3.52,3.57,3.59,3.54
3.52,3.58,3.59,3.55
3.53,3.58,3.60,3.55
3.55,3.60,3.62,3.59
3.55,3.61,3.62,3.58
3.57,3.61,3.63,3.60
3.58,3.62,3.63,3.61
3.58,3.62,3.63,3.59
3.58,3.62,3.63,3.60
3.58,3.62,3.64,3.60
3.54,3.59,3.62,3.54
3.50,3.56,3.58,3.43
3.52,3.57,3.60,3.52
3.54,3.59,3.62,3.57
3.56,3.61,3.63,3.60
3.57,3.62,3.64,3.59
3.58,3.62,3.63,3.59
3.58,3.62,3.64,3.62
3.59,3.63,3.66,3.63
3.59,3.64,3.65,3.62
3.59,3.63,3.65,3.62
3.56,3.60,3.62,3.54
3.54,3.60,3.61,3.53
3.56,3.61,3.62,3.58
3.58,3.62,3.64,3.62
3.58,3.63,3.65,3.61
3.58,3.62,3.64,3.58
3.54,3.60,3.61,3.52
3.55,3.60,3.61,3.55
3.56,3.61,3.62,3.58
3.58,3.62,3.64,3.61
3.59,3.63,3.65,3.64
3.59,3.62,3.65,3.61
3.58,3.62,3.64,3.59
3.54,3.58,3.61,3.50
3.54,3.59,3.60,3.52
3.57,3.62,3.64,3.61
3.58,3.62,3.65,3.62
3.53,3.58,3.60,3.50
3.47,3.52,3.54,3.35
3.43,3.50,3.51,3.37
3.42,3.48,3.51,3.37
3.46,3.52,3.54,3.47
3.55,3.59,3.62,3.67
3.59,3.62,3.66,3.67
3.59,3.62,3.65,3.61
3.58,3.63,3.64,3.60
3.58,3.62,3.64,3.59
3.55,3.61,3.62,3.55
3.54,3.58,3.61,3.51
3.50,3.56,3.58,3.46
3.46,3.52,3.54,3.38
3.44,3.50,3.51,3.37
3.43,3.50,3.51,3.40
3.42,3.50,3.51,3.39
3.42,3.49,3.51,3.40
3.42,3.48,3.50,3.38
3.42,3.48,3.50,3.38
3.42,3.49,3.50,3.39
3.48,3.53,3.55,3.52
3.52,3.58,3.59,3.59
3.54,3.59,3.60,3.58
3.55,3.59,3.62,3.57
3.55,3.61,3.62,3.58
3.54,3.58,3.60,3.54
3.44,3.51,3.51,3.24
3.43,3.49,3.51,3.34
3.40,3.46,3.49,3.33
3.37,3.44,3.45,3.29
3.36,3.44,3.45,3.30
3.37,3.43,3.46,3.33
3.36,3.44,3.45,3.31
3.36,3.43,3.44,3.32
3.35,3.42,3.44,3.30
3.34,3.42,3.44,3.30
3.36,3.43,3.46,3.33
3.44,3.51,3.54,3.49
3.54,3.59,3.61,3.70
3.55,3.60,3.62,3.60
3.55,3.57,3.60,3.56
3.45,3.47,3.53,3.28
3.49,3.50,3.59,3.42
3.46,3.48,3.54,3.46
3.46,3.54,3.54,3.51
3.49,3.53,3.55,3.50
3.48,3.53,3.56,3.49
3.49,3.54,3.56,3.47
3.48,3.54,3.55,3.47
3.46,3.52,3.55,3.42
3.46,3.51,3.54,3.43
3.44,3.50,3.52,3.39
3.44,3.50,3.53,3.42
3.49,3.54,3.57,3.55
3.53,3.57,3.59,3.57
3.55,3.59,3.62,3.60
3.57,3.61,3.62,3.62
3.58,3.62,3.64,3.62
3.59,3.62,3.65,3.63
3.58,3.62,3.65,3.61
3.58,3.62,3.64,3.59
3.53,3.58,3.59,3.50
3.49,3.55,3.56,3.45
3.49,3.54,3.56,3.46
3.50,3.55,3.58,3.52
3.50,3.56,3.58,3.51
3.49,3.54,3.57,3.47
3.49,3.54,3.56,3.48
3.50,3.56,3.58,3.53
3.50,3.55,3.57,3.49
3.50,3.54,3.57,3.48
3.50,3.55,3.57,3.51
3.53,3.57,3.59,3.56
3.55,3.59,3.62,3.59
3.58,3.62,3.64,3.62
3.60,3.64,3.66,3.66
3.60,3.64,3.66,3.64
3.59,3.63,3.65,3.62
3.58,3.62,3.65,3.59
3.57,3.61,3.62,3.57
3.55,3.60,3.62,3.54
3.54,3.58,3.61,3.54
3.50,3.55,3.57,3.46
3.47,3.54,3.55,3.43
3.50,3.56,3.58,3.51
3.53,3.58,3.59,3.56
3.52,3.57,3.59,3.52
3.51,3.56,3.57,3.50
3.49,3.54,3.56,3.46
3.47,3.53,3.54,3.44
3.46,3.51,3.54,3.40
3.46,3.52,3.54,3.45
3.46,3.53,3.54,3.45
3.48,3.53,3.55,3.48
3.46,3.53,3.54,3.44
3.52,3.57,3.59,3.57
3.54,3.59,3.62,3.60
3.50,3.55,3.58,3.47
3.50,3.55,3.57,3.48
3.50,3.54,3.58,3.50
3.48,3.54,3.55,3.45
3.51,3.57,3.58,3.55
3.53,3.57,3.59,3.54
3.54,3.59,3.61,3.57
3.54,3.59,3.61,3.57
3.50,3.55,3.57,3.46
3.46,3.51,3.54,3.37
3.44,3.51,3.52,3.41
3.43,3.50,3.50,3.40
3.43,3.50,3.51,3.41
3.43,3.49,3.50,3.40
3.42,3.50,3.50,3.40
3.43,3.50,3.52,3.43
3.44,3.50,3.52,3.43
3.44,3.50,3.52,3.42
3.44,3.50,3.52,3.42
3.44,3.50,3.52,3.42
3.46,3.52,3.54,3.46
3.49,3.54,3.56,3.51
3.51,3.56,3.58,3.56
